participants;   mantel lower;   mantel upper; mantel sd;   mantel average;   elsim lower;   elsim upper;   elsim sd;   elsim average
1 ;  0.251967729483487 ;  0.8835783361528848 ;  0.12322978285826934 ;  0.6670107919226302 ;  0.37603383458646605 ;  0.8287593984962406 ;  0.10003280506156255 ;  0.6364156355340566
2 ;  0.5736176526643278 ;  0.8838079567369205 ;  0.07441102873689218 ;  0.7580304659189786 ;  0.4345864661654136 ;  0.9329573934837092 ;  0.09210138883777075 ;  0.6486578852434115
3 ;  0.6639830510517756 ;  0.9311988438039351 ;  0.054398265632145046 ;  0.8273357595438982 ;  0.5278195488721803 ;  1.0 ;  0.08327028562689386 ;  0.7564627667653983
4 ;  0.6884556652106341 ;  0.9450298169232884 ;  0.05035125522169377 ;  0.85857357253152 ;  0.5561716791979949 ;  0.9368421052631577 ;  0.08141523039188 ;  0.76445541885015575 ;  
5 ;  0.7212614117465357 ;  0.949379142187243 ;  0.03736184645258355 ;  0.8801290553848499 ;  0.6102130325814538 ;  0.9351503759398496 ;  0.06924256614600652 ;  0.8020067593225487
6 ;  0.8078654903133488 ;  0.9483977949849758 ;  0.02798624562343295 ;  0.9055799421422419 ;  0.655388471177945 ;  1.0 ;  0.07489188689144531 ;  0.8180371667805878
7 ;  0.855478170739373 ;  0.9598052499350156 ;  0.02269585175665827 ;  0.9177737580723075 ;  0.6917919799498745 ;  1.0 ;  0.07260172475538314 ;  0.8229455646692488
8 ;  0.865805900981584 ;  0.9566531176214692 ;  0.018233469381918253 ;  0.9278959106531376 ;  0.6418546365914785 ;  1.0 ;  0.06983742045823652 ;  0.8285483405483405
9 ;  0.8768684374849203 ;  0.9643796644499814 ;  0.018408843201938342 ;  0.9343688907023294 ;  0.6911654135338346 ;  1.0 ;  0.06689904650501166 ;  0.8488753702437912
10 ;  0.8931011870100185 ;  0.9675123845724434 ;  0.015419711182443454 ;  0.9394396408946065 ;  0.6703007518796994 ;  1.0 ;  0.05886939407285839 ;  0.8527564080656185        
11 ;  0.8926571562530986 ;  0.975368124314744 ;  0.013822777027725124 ;  0.9469602382091357 ;  0.7417293233082706 ;  1.0 ;  0.061533245264404346 ;  0.8623166438824333        
12 ;  0.9060974494156959 ;  0.9699349035576152 ;  0.012895162813824974 ;  0.9483981688458721 ;  0.6964285714285712 ;  1.0 ;  0.06292294612820817 ;  0.8523617566643882        
13 ;  0.9208910920471752 ;  0.9732736089755659 ;  0.010483501431700147 ;  0.9541991300072644 ;  0.7052005012531328 ;  1.0 ;  0.06058862032981925 ;  0.8574716146426672        
14 ;  0.9340201607865969 ;  0.978123514423327 ;  0.009744030864837156 ;  0.9582280347191472 ;  0.7044486215538845 ;  1.0 ;  0.05919545336698151 ;  0.8650219298245614
15 ;  0.9260345587869736 ;  0.9750673361517815 ;  0.008028393118835611 ;  0.9621080350428923 ;  0.7124060150375942 ;  1.0 ;  0.057438312119393715 ;  0.8692685881370091       
16 ;  0.9434043333750516 ;  0.9783710846028042 ;  0.008360824716313203 ;  0.9615127244431837 ;  0.7417293233082706 ;  1.0 ;  0.05815108827001814 ;  0.8717013366750208        
17 ;  0.9477051066640484 ;  0.9788672403220277 ;  0.006933607941395967 ;  0.9654735058469154 ;  0.6703007518796994 ;  1.0 ;  0.07135770063721984 ;  0.8779475772765246        
18 ;  0.9412512383660733 ;  0.9800632186790255 ;  0.007577361980429636 ;  0.9670640531935439 ;  0.7124060150375942 ;  1.0 ;  0.06599803969772366 ;  0.8740841877420824        
19 ;  0.9544131421400532 ;  0.9816759829370347 ;  0.006028461643525351 ;  0.9698128660714361 ;  0.7124060150375942 ;  1.0 ;  0.05634081354213572 ;  0.8715290309106097        
20 ;  0.9496295180388882 ;  0.9840092261097734 ;  0.006834157199421621 ;  0.9710452340819973 ;  0.7171052631578948 ;  1.0 ;  0.05830930066854741 ;  0.8824475962633856        
21 ;  0.9604964413869558 ;  0.9834254853292144 ;  0.005479737504972289 ;  0.9726105774744975 ;  0.7549812030075187 ;  1.0 ;  0.06378859200662065 ;  0.8909765037593984        
22 ;  0.9581430599535368 ;  0.9859489140653059 ;  0.005626183697784128 ;  0.9743830136062922 ;  0.7417293233082706 ;  1.0 ;  0.05806607103872173 ;  0.886092750816435
23 ;  0.962266244697113 ;  0.9839563387778786 ;  0.004962963730874618 ;  0.9751782119656864 ;  0.7614661654135336 ;  1.0 ;  0.051621344343282825 ;  0.8939260651629072        
24 ;  0.9635389358448132 ;  0.9859104867230822 ;  0.004406963695358798 ;  0.9763135397090484 ;  0.7501879699248118 ;  1.0 ;  0.05656797771661031 ;  0.9017781954887217        
25 ;  0.958837277687948 ;  0.9866459809363232 ;  0.004523747853859767 ;  0.9775524357962849 ;  0.7501879699248118 ;  1.0 ;  0.06198987418410054 ;  0.893687343358396
26 ;  0.9647953240381115 ;  0.9880460295979758 ;  0.004581108981289908 ;  0.9787396875079386 ;  0.7823934837092732 ;  1.0 ;  0.05704400474558819 ;  0.9067276524644945        
27 ;  0.9695643182826662 ;  0.9883132993438587 ;  0.003727095878829804 ;  0.9795119681419974 ;  0.7674812030075188 ;  1.0 ;  0.054263434265652416 ;  0.8983546365914786       
28 ;  0.96459609671651 ;  0.9871112120100813 ;  0.004593123994424544 ;  0.979802388965489 ;  0.7848370927318296 ;  1.0 ;  0.05473112819846116 ;  0.8988339598997493
29 ;  0.9722786366458276 ;  0.9879681358944855 ;  0.003296725391273226 ;  0.9811621718822019 ;  0.7193609022556389 ;  1.0 ;  0.06455439635517557 ;  0.9022443609022556        
30 ;  0.9665153145182097 ;  0.9885372761508243 ;  0.0038071503660144944 ;  0.9809610230695842 ;  0.7614661654135336 ;  1.0 ;  0.05978618827960566 ;  0.9095802005012531       
31 ;  0.9715378845253962 ;  0.9881845900003606 ;  0.0034432376067514295 ;  0.9819567365367529 ;  0.7609022556390977 ;  1.0 ;  0.05594351004337744 ;  0.9087575187969924       
32 ;  0.9691786355618796 ;  0.987871653487769 ;  0.0033718928111005136 ;  0.9823021216863465 ;  0.7614661654135336 ;  1.0 ;  0.05856894853791614 ;  0.9056710526315789        
33 ;  0.9731113119302969 ;  0.9913981279020232 ;  0.0031365160264457672 ;  0.9838936239833446 ;  0.7501879699248118 ;  1.0 ;  0.054079384109192816 ;  0.8981647869674185      
34 ;  0.9763384044080798 ;  0.9892401344888652 ;  0.0027649572761115843 ;  0.9845621339421434 ;  0.7614661654135336 ;  1.0 ;  0.058115455502515796 ;  0.9074561403508772      
35 ;  0.976315188549573 ;  0.9913764231941105 ;  0.0029268719980219044 ;  0.9847551087934374 ;  0.7906641604010024 ;  1.0 ;  0.057478059165224464 ;  0.9089517543859649       
36 ;  0.9758603012401851 ;  0.9904988004782236 ;  0.002678403315772486 ;  0.9848991312342409 ;  0.7614661654135336 ;  1.0 ;  0.05782432157250655 ;  0.9138427318295739        
37 ;  0.9707281181504128 ;  0.9904377200817321 ;  0.003001260681907888 ;  0.9855379039571533 ;  0.7614661654135336 ;  1.0 ;  0.05969423957426273 ;  0.9158308270676692        
38 ;  0.9780791161350727 ;  0.991727822561256 ;  0.002826335206570708 ;  0.985981024617182 ;  0.8209273182957391 ;  1.0 ;  0.049150994838626096 ;  0.9134812030075188
39 ;  0.9786071705278788 ;  0.9914028820694158 ;  0.002452300040318089 ;  0.9865532027594643 ;  0.7906641604010024 ;  1.0 ;  0.052389657663326365 ;  0.9180877192982455       
40 ;  0.9767168587707911 ;  0.9919202087962792 ;  0.0030124489457577035 ;  0.9868144739523856 ;  0.7622180451127821 ;  1.0 ;  0.05051990873033996 ;  0.9162681704260651       
41 ;  0.9825742722117299 ;  0.9918205949768173 ;  0.002085919423631768 ;  0.9881460640360963 ;  0.8072055137844609 ;  1.0 ;  0.04627301535807993 ;  0.9106622807017544        
42 ;  0.9794311638059163 ;  0.9918111099569943 ;  0.002545170626719985 ;  0.9873237245080241 ;  0.7682957393483708 ;  1.0 ;  0.05686955886958461 ;  0.9100902255639097
43 ;  0.9827728858355901 ;  0.9929551200792537 ;  0.0019727615051824145 ;  0.9885264020362279 ;  0.7614661654135336 ;  1.0 ;  0.058958016287237125 ;  0.9168809523809524      
44 ;  0.981360685702995 ;  0.9923073687687916 ;  0.002116587968892128 ;  0.9886717121716597 ;  0.831328320802005 ;  1.0 ;  0.045232467532176766 ;  0.9259053884711779
45 ;  0.9807642841368768 ;  0.99208845382383 ;  0.002151322569884005 ;  0.988357293544857 ;  0.7906641604010024 ;  1.0 ;  0.05351801629490694 ;  0.9161779448621553
46 ;  0.9810243389576544 ;  0.9934949630254151 ;  0.0022345512419706523 ;  0.9888768607753993 ;  0.7682957393483708 ;  1.0 ;  0.05376518746217381 ;  0.9168389724310776       
47 ;  0.9821656303117287 ;  0.9933150958538884 ;  0.0021288182896509198 ;  0.989056154052237 ;  0.8291979949874687 ;  1.0 ;  0.053231544676541225 ;  0.9276497493734336       
48 ;  0.9832779152524737 ;  0.9939428228414368 ;  0.002149506340438548 ;  0.9896411347341898 ;  0.8112781954887216 ;  1.0 ;  0.05114903300795965 ;  0.9241246867167919        
49 ;  0.9833257578079674 ;  0.9940945826415346 ;  0.0018854154463866849 ;  0.989950240000903 ;  0.8072055137844609 ;  1.0 ;  0.05487072631673525 ;  0.9221165413533834        
50 ;  0.9803324079611463 ;  0.9936269550315432 ;  0.0022701268336864215 ;  0.9901717635459852 ;  0.8072055137844609 ;  1.0 ;  0.052752010633825626 ;  0.9271447368421052      
51 ;  0.9849533590274067 ;  0.9935464292447136 ;  0.0017267894508005486 ;  0.9904239552970324 ;  0.8072055137844609 ;  1.0 ;  0.050533185015623226 ;  0.9248809523809524      
52 ;  0.9858555585087114 ;  0.9939656475775601 ;  0.001843424049150884 ;  0.990610038224606 ;  0.8021929824561402 ;  1.0 ;  0.0474845798494289 ;  0.9274436090225563
53 ;  0.9845056227382691 ;  0.9949917689769762 ;  0.0017586655650248797 ;  0.9909988470762188 ;  0.8112781954887216 ;  1.0 ;  0.050772903765995116 ;  0.9282750626566416      
54 ;  0.9854229812547564 ;  0.9948456577882951 ;  0.0018083058370570396 ;  0.9909697460402113 ;  0.7682957393483708 ;  1.0 ;  0.054108442049753736 ;  0.9277794486215538      
55 ;  0.9851255959789875 ;  0.9937593851015345 ;  0.0018162658965958861 ;  0.9911690394868119 ;  0.726691729323308 ;  1.0 ;  0.05703936588037449 ;  0.9251441102756892        
56 ;  0.9860561395042441 ;  0.994116511183146 ;  0.0015369339495468618 ;  0.991538456332243 ;  0.7614661654135336 ;  1.0 ;  0.05302318856744505 ;  0.9202124060150375
57 ;  0.9870980595280536 ;  0.994837563076082 ;  0.0015171128124043985 ;  0.9919831035287623 ;  0.831328320802005 ;  1.0 ;  0.0466958036430448 ;  0.9335827067669172
58 ;  0.9865460874500125 ;  0.9951018372851762 ;  0.0014563025372365133 ;  0.9921707635200517 ;  0.8072055137844609 ;  1.0 ;  0.053838534827563095 ;  0.9208126566416039      
59 ;  0.9868283704977192 ;  0.9950714467801112 ;  0.0015422842865163834 ;  0.9921935323560883 ;  0.8112781954887216 ;  1.0 ;  0.04961023281637435 ;  0.9225563909774436       
60 ;  0.9901038191612956 ;  0.9950052551205185 ;  0.001046377695459375 ;  0.9926157216118027 ;  0.8112781954887216 ;  1.0 ;  0.044163684806385016 ;  0.9257832080200501       
61 ;  0.9865353311256075 ;  0.9946262321176516 ;  0.0016088840535339616 ;  0.9923758545759512 ;  0.7614661654135336 ;  1.0 ;  0.052419597751479766 ;  0.9297706766917293      
62 ;  0.9881784429558675 ;  0.9957167858126463 ;  0.001404656211497729 ;  0.992819870800314 ;  0.8112781954887216 ;  1.0 ;  0.04610809017658253 ;  0.9384724310776942
63 ;  0.9894901145945034 ;  0.9956604837222303 ;  0.0012392147877965402 ;  0.9931562374942783 ;  0.8112781954887216 ;  1.0 ;  0.047409675919072705 ;  0.9325776942355889      
64 ;  0.9896268565064952 ;  0.995736025704205 ;  0.0013250555018040695 ;  0.9930341793764015 ;  0.8047619047619047 ;  1.0 ;  0.0536380287455725 ;  0.9308070175438596
65 ;  0.9886004027216443 ;  0.9954785254015869 ;  0.0014055319240391625 ;  0.9931607301206178 ;  0.8047619047619047 ;  1.0 ;  0.04710070783778939 ;  0.9368114035087719       
66 ;  0.9891069207887708 ;  0.9954343532380553 ;  0.001416530773676489 ;  0.9932532045789512 ;  0.8072055137844609 ;  1.0 ;  0.05080623116964795 ;  0.9277481203007518        
67 ;  0.9889804266655855 ;  0.9961422960585149 ;  0.0012586279530611372 ;  0.9933931793528703 ;  0.831328320802005 ;  1.0 ;  0.04900059822247944 ;  0.9398997493734336        
68 ;  0.990563552450837 ;  0.9960853256303918 ;  0.0010975550712949101 ;  0.9937427078944194 ;  0.8112781954887216 ;  1.0 ;  0.04405363058523749 ;  0.9406754385964912        
69 ;  0.9898775541214527 ;  0.9958682463000806 ;  0.001069981939461742 ;  0.9938980195737732 ;  0.8072055137844609 ;  1.0 ;  0.05118866499315645 ;  0.9334887218045113        
70 ;  0.990111028632779 ;  0.9961987438865061 ;  0.0012250823802449544 ;  0.9937052091830251 ;  0.8209273182957391 ;  1.0 ;  0.04429753887821853 ;  0.9356428571428571        
71 ;  0.9909090464569604 ;  0.9965393420457934 ;  0.001107870647643707 ;  0.994124787386788 ;  0.831328320802005 ;  1.0 ;  0.048142688910644695 ;  0.9399868421052632
72 ;  0.9924267652370055 ;  0.9962039693978942 ;  0.0007802737753797517 ;  0.9944391897047156 ;  0.8112781954887216 ;  1.0 ;  0.0452707726571079 ;  0.9435902255639097        
73 ;  0.9914196776016164 ;  0.9963813065479067 ;  0.0010555147542942443 ;  0.9943359948435686 ;  0.831328320802005 ;  1.0 ;  0.0456692861489822 ;  0.9403057644110275
74 ;  0.9918603048543057 ;  0.9961991824786872 ;  0.0009389976136059797 ;  0.994526512010937 ;  0.8645363408521302 ;  1.0 ;  0.04056548531017315 ;  0.949454260651629
75 ;  0.9918406300698734 ;  0.9963702358250879 ;  0.001014596754711567 ;  0.9946568780194202 ;  0.8112781954887216 ;  1.0 ;  0.045773073439697616 ;  0.9422268170426065       
76 ;  0.9902911109654436 ;  0.9966402922191478 ;  0.0010148231126841283 ;  0.9947703163372974 ;  0.8112781954887216 ;  1.0 ;  0.04778529492019569 ;  0.9466296992481202       
77 ;  0.9919343095919863 ;  0.9969765870544085 ;  0.000953980483254318 ;  0.9948242412072913 ;  0.824498746867168 ;  1.0 ;  0.04297789681921309 ;  0.9462293233082706
78 ;  0.99205706443329 ;  0.9967953786117217 ;  0.000899840879803985 ;  0.9949667639248235 ;  0.8112781954887216 ;  1.0 ;  0.050836134849828754 ;  0.9427957393483709
79 ;  0.9926904661922042 ;  0.9967576469512206 ;  0.0008533784991049694 ;  0.9950741541909877 ;  0.8263157894736841 ;  1.0 ;  0.04445785628128975 ;  0.9442330827067669       
80 ;  0.9920010712407008 ;  0.9968561373923067 ;  0.0009188117422192453 ;  0.995170639445381 ;  0.8339598997493735 ;  1.0 ;  0.04266297623688607 ;  0.951610902255639
81 ;  0.9927524229474015 ;  0.9971372147272831 ;  0.0007728364304136688 ;  0.9952030450944652 ;  0.831328320802005 ;  1.0 ;  0.04119181666685851 ;  0.940359649122807
82 ;  0.9928188257958918 ;  0.9970186724024562 ;  0.0008183112668134292 ;  0.9953018727655368 ;  0.8112781954887216 ;  1.0 ;  0.047839063260897804 ;  0.9499335839598997      
83 ;  0.9930535021254857 ;  0.997672081021473 ;  0.0008449470492678933 ;  0.9955389859833024 ;  0.831328320802005 ;  1.0 ;  0.047453675220385856 ;  0.9475401002506265        
84 ;  0.9933040471411312 ;  0.9970929538069956 ;  0.0007466734794044795 ;  0.9956870290562656 ;  0.8209273182957391 ;  1.0 ;  0.03972897781165347 ;  0.949124686716792        
85 ;  0.9930316590490456 ;  0.9970568575038976 ;  0.0007066883912077232 ;  0.995667026894412 ;  0.824498746867168 ;  1.0 ;  0.04703759192724307 ;  0.9411441102756891
86 ;  0.993927524691899 ;  0.9972242189868186 ;  0.0007337983299765919 ;  0.9958083295544586 ;  0.8645363408521302 ;  1.0 ;  0.044995268898062685 ;  0.9473483709273183       
87 ;  0.9937894704423603 ;  0.9972561672322827 ;  0.0008004891446264116 ;  0.9959557142704449 ;  0.8112781954887216 ;  1.0 ;  0.044960580230051325 ;  0.9483621553884711      
88 ;  0.9944968401350803 ;  0.9969809218059482 ;  0.0006231007047975489 ;  0.9960181446896459 ;  0.8645363408521302 ;  1.0 ;  0.042392733577571 ;  0.9470369674185463
89 ;  0.9938310233187158 ;  0.9971519555897574 ;  0.0006702796315839807 ;  0.995967966908313 ;  0.8112781954887216 ;  1.0 ;  0.046306516731026585 ;  0.953531328320802        
90 ;  0.9945568221928447 ;  0.9976494110791533 ;  0.0006604113502305675 ;  0.9961778081124898 ;  0.831328320802005 ;  1.0 ;  0.0442151005196999 ;  0.9528778195488722
91 ;  0.9947682563515872 ;  0.9978646553168357 ;  0.000687917190799313 ;  0.9962179497649561 ;  0.8645363408521302 ;  1.0 ;  0.04295834427016575 ;  0.9484154135338345        
